Acc_presence=64.99 MSE_3d=4.240749
Acc_presence=70.58 MSE_3d=2.889347
Acc_presence=69.22 MSE_3d=2.640839
Acc_presence=69.24 MSE_3d=2.458659
Acc_presence=69.13 MSE_3d=2.451751
Acc_presence=69.17 MSE_3d=2.442129
Acc_presence=69.60 MSE_3d=2.399024
Acc_presence=69.23 MSE_3d=2.171649
Acc_presence=69.62 MSE_3d=2.237343
Acc_presence=67.72 MSE_3d=3.881114
Acc_presence=80.83 MSE_3d=6.831932
Acc_presence=99.70 MSE_3d=6.997193
Acc_presence=99.73 MSE_3d=6.841772
Acc_presence=99.74 MSE_3d=6.977640
Acc_presence=99.77 MSE_3d=6.846108
Acc_presence=99.75 MSE_3d=6.857408
Acc_presence=99.75 MSE_3d=6.866576
Acc_presence=99.70 MSE_3d=6.943004
Acc_presence=99.78 MSE_3d=6.982033
Acc_presence=63.46 MSE_3d=4.828302
Acc_presence=82.12 MSE_3d=4.441335
Acc_presence=99.77 MSE_3d=6.981857
Acc_presence=99.79 MSE_3d=6.820561
Acc_presence=99.75 MSE_3d=6.906363
Acc_presence=99.70 MSE_3d=6.977420
Acc_presence=99.74 MSE_3d=6.994810
Acc_presence=99.82 MSE_3d=6.685383
Acc_presence=99.72 MSE_3d=6.998213
